replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
0.000000,benign_long_run,nearest_web,24.000000,24.000000,48.000000,6.442977,0.000000,6.000000,6.000000,6.000000,0.931247,0.541667,0.897002,3524.818403,0.000000,0.000000,1.000000,0.000000,
0.000000,benign_long_run,minimum_spanning_tree,24.000000,24.000000,23.000000,2.434399,0.000000,6.000000,6.000000,6.000000,2.464674,0.541667,0.897155,3522.241097,0.000000,0.000000,1.000000,0.000000,
0.000000,benign_long_run,dendritic_tree,24.000000,39.000000,38.000000,4.761429,0.000000,6.000000,6.000000,6.000000,1.260126,0.555556,0.896298,3508.143200,0.000000,0.000000,1.000000,0.000000,
0.000000,benign_long_run,hybrid_dendritic,24.000000,39.000000,41.000000,5.201146,0.000000,6.000000,6.000000,6.000000,1.153592,0.562500,0.896535,3515.155788,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,nearest_web,24.000000,24.000000,48.000000,6.442977,0.000000,6.000000,6.000000,6.000000,0.931247,0.534722,0.897794,3496.574153,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,minimum_spanning_tree,24.000000,24.000000,23.000000,2.434399,0.000000,6.000000,6.000000,6.000000,2.464674,0.541667,0.897931,3491.806620,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,dendritic_tree,24.000000,39.000000,38.000000,4.761429,0.000000,6.000000,6.000000,6.000000,1.260126,0.548611,0.897477,3469.532729,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,hybrid_dendritic,24.000000,39.000000,41.000000,5.201146,0.000000,6.000000,6.000000,6.000000,1.153592,0.548611,0.897654,3481.679325,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,nearest_web,24.000000,24.000000,48.000000,6.442977,0.000000,6.000000,6.000000,6.000000,0.931247,0.534722,0.897432,3510.394767,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,minimum_spanning_tree,24.000000,24.000000,23.000000,2.434399,0.000000,6.000000,6.000000,6.000000,2.464674,0.541667,0.897595,3505.068645,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,dendritic_tree,24.000000,39.000000,38.000000,4.761429,0.000000,6.000000,6.000000,6.000000,1.260126,0.555556,0.896984,3486.246221,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,hybrid_dendritic,24.000000,39.000000,41.000000,5.201146,0.000000,6.000000,6.000000,6.000000,1.153592,0.548611,0.897181,3496.362036,0.000000,0.000000,1.000000,0.000000,
1.000000,benign_long_run,nearest_web,24.000000,24.000000,45.000000,6.252782,0.000000,6.000000,6.000000,6.000000,0.959573,0.520833,0.934900,3061.419808,0.000000,0.000000,1.000000,0.000000,
1.000000,benign_long_run,minimum_spanning_tree,24.000000,24.000000,23.000000,2.497755,0.000000,6.000000,6.000000,6.000000,2.402157,0.506944,0.934327,3058.043998,0.000000,-0.000000,1.000000,0.000000,
1.000000,benign_long_run,dendritic_tree,24.000000,39.000000,38.000000,4.340512,0.000000,6.000000,6.000000,6.000000,1.382325,0.493056,0.936985,3080.747317,0.000000,0.000000,1.000000,0.000000,
1.000000,benign_long_run,hybrid_dendritic,24.000000,39.000000,41.000000,4.681043,0.000000,6.000000,6.000000,6.000000,1.281765,0.513889,0.936035,3070.883856,0.000000,0.000000,1.000000,0.000000,
1.000000,costly_movement,nearest_web,24.000000,24.000000,45.000000,6.252782,0.000000,6.000000,6.000000,6.000000,0.959573,0.520833,0.935285,3038.477083,0.000000,0.000000,1.000000,0.000000,
1.000000,costly_movement,minimum_spanning_tree,24.000000,24.000000,23.000000,2.497755,0.000000,6.000000,6.000000,6.000000,2.402157,0.506944,0.934712,3034.716537,0.000000,-0.000000,1.000000,0.000000,
1.000000,costly_movement,dendritic_tree,24.000000,39.000000,38.000000,4.340512,0.000000,6.000000,6.000000,6.000000,1.382325,0.493056,0.937286,3046.318645,0.000000,0.000000,1.000000,0.000000,
1.000000,costly_movement,hybrid_dendritic,24.000000,39.000000,41.000000,4.681043,0.000000,6.000000,6.000000,6.000000,1.281765,0.500000,0.936352,3039.379373,0.000000,0.000000,1.000000,0.000000,
1.000000,edge_disturbance,nearest_web,24.000000,24.000000,45.000000,6.252782,0.000000,6.000000,6.000000,6.000000,0.959573,0.520833,0.935131,3049.402140,0.000000,0.000000,1.000000,0.000000,
1.000000,edge_disturbance,minimum_spanning_tree,24.000000,24.000000,23.000000,2.497755,0.000000,6.000000,6.000000,6.000000,2.402157,0.506944,0.934543,3044.919181,0.000000,-0.000000,1.000000,0.000000,
1.000000,edge_disturbance,dendritic_tree,24.000000,39.000000,38.000000,4.340512,0.000000,6.000000,6.000000,6.000000,1.382325,0.493056,0.937199,3061.282181,0.000000,0.000000,1.000000,0.000000,
1.000000,edge_disturbance,hybrid_dendritic,24.000000,39.000000,41.000000,4.681043,0.000000,6.000000,6.000000,6.000000,1.281765,0.506944,0.936256,3053.140717,0.000000,0.000000,1.000000,0.000000,
2.000000,benign_long_run,nearest_web,24.000000,24.000000,45.000000,7.117783,0.000000,6.000000,6.000000,6.000000,0.842959,0.562500,0.860847,3514.203022,0.000000,0.000000,1.000000,0.000000,
2.000000,benign_long_run,minimum_spanning_tree,24.000000,24.000000,23.000000,2.881906,0.000000,6.000000,6.000000,6.000000,2.081956,0.562500,0.862530,3515.010567,0.000000,0.000000,1.000000,0.000000,
2.000000,benign_long_run,dendritic_tree,24.000000,39.000000,38.000000,4.777918,0.000000,6.000000,6.000000,6.000000,1.255777,0.562500,0.866091,3517.752941,0.000000,-0.000000,1.000000,0.000000,
