scenario,geometry,metric,mean,sd,q05,q50,q95
benign_long_run,nearest_web,graph_edges,46.750000,1.422226,44.550000,47.000000,48.000000
benign_long_run,nearest_web,total_corridor_length,6.692702,0.458983,6.004129,6.648601,7.298649
benign_long_run,nearest_web,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,nearest_web,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,nearest_web,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,nearest_web,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,nearest_web,persistent_species_per_length,0.875185,0.083642,0.761095,0.872819,1.001431
benign_long_run,nearest_web,final_mean_occupancy,0.547454,0.030173,0.500694,0.552083,0.589583
benign_long_run,nearest_web,recent_evenness,0.875500,0.040646,0.817479,0.878924,0.924287
benign_long_run,nearest_web,recent_regional_total,3464.824675,187.986702,3138.424498,3513.448153,3704.709019
benign_long_run,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,nearest_web,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
benign_long_run,minimum_spanning_tree,graph_edges,23.000000,0.000000,23.000000,23.000000,23.000000
benign_long_run,minimum_spanning_tree,total_corridor_length,2.624492,0.151482,2.437467,2.581080,2.869876
benign_long_run,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,minimum_spanning_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,minimum_spanning_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,minimum_spanning_tree,persistent_species_per_length,2.229372,0.197580,1.913446,2.264479,2.461575
benign_long_run,minimum_spanning_tree,final_mean_occupancy,0.545139,0.027857,0.503819,0.548611,0.579514
benign_long_run,minimum_spanning_tree,recent_evenness,0.875945,0.040248,0.817823,0.879842,0.923393
benign_long_run,minimum_spanning_tree,recent_regional_total,3464.316013,189.348646,3134.115405,3511.298759,3703.722565
benign_long_run,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,minimum_spanning_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
benign_long_run,dendritic_tree,graph_edges,38.000000,0.000000,38.000000,38.000000,38.000000
benign_long_run,dendritic_tree,total_corridor_length,4.688672,0.400456,4.104977,4.769673,5.178100
benign_long_run,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,final_persistent_species,5.750000,0.452267,5.000000,6.000000,6.000000
benign_long_run,dendritic_tree,long_run_persistent_species,5.750000,0.452267,5.000000,6.000000,6.000000
benign_long_run,dendritic_tree,recent_persistent_species,5.750000,0.452267,5.000000,6.000000,6.000000
benign_long_run,dendritic_tree,persistent_species_per_length,1.235546,0.149638,0.988311,1.236721,1.437452
benign_long_run,dendritic_tree,final_mean_occupancy,0.545718,0.029973,0.496875,0.548611,0.579514
benign_long_run,dendritic_tree,recent_evenness,0.875064,0.040920,0.816901,0.881195,0.924246
benign_long_run,dendritic_tree,recent_regional_total,3457.703814,185.348237,3134.818171,3505.003319,3696.644383
benign_long_run,dendritic_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,dendritic_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
benign_long_run,hybrid_dendritic,graph_edges,41.000000,0.000000,41.000000,41.000000,41.000000
benign_long_run,hybrid_dendritic,total_corridor_length,5.056971,0.369298,4.599002,5.133028,5.561998
benign_long_run,hybrid_dendritic,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,hybrid_dendritic,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,hybrid_dendritic,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,hybrid_dendritic,persistent_species_per_length,1.158141,0.104748,1.015897,1.147364,1.304577
benign_long_run,hybrid_dendritic,final_mean_occupancy,0.550926,0.032751,0.504514,0.555556,0.592708
benign_long_run,hybrid_dendritic,recent_evenness,0.875437,0.040577,0.817153,0.880391,0.923603
benign_long_run,hybrid_dendritic,recent_regional_total,3461.467545,184.085287,3144.912818,3506.873531,3695.897895
benign_long_run,hybrid_dendritic,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,hybrid_dendritic,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,nearest_web,graph_edges,46.750000,1.422226,44.550000,47.000000,48.000000
