replicate,final_population,dispersalKernel,disturbanceIntensity
1,29720.359808742025,0.07,0.1
2,29753.318486316162,0.07,0.1
3,33891.039343095865,0.07,0.1
4,32888.17266315489,0.07,0.1
5,29817.528471533355,0.07,0.1
6,29340.46439071938,0.07,0.1
7,29855.427808547945,0.07,0.1
8,31175.255962571813,0.07,0.1
9,27839.949244003918,0.07,0.1
10,31175.320712747063,0.07,0.1
11,28826.53052213281,0.07,0.1
12,33442.17367930401,0.07,0.1
13,25792.176650249046,0.07,0.1
14,31909.337107471052,0.07,0.1
15,30485.4763449239,0.07,0.1
16,29511.191522604655,0.07,0.1
17,30943.24285506924,0.07,0.1
18,32485.92770952799,0.07,0.1
19,31008.432413283386,0.07,0.1
20,32907.08975750607,0.07,0.1
21,33154.3407946316,0.07,0.1
22,29215.078979541795,0.07,0.1
23,28429.893499288188,0.07,0.1
24,29687.167992321618,0.07,0.1
25,26993.907799457986,0.07,0.1
26,31445.085925502568,0.07,0.1
27,30799.269969963596,0.07,0.1
28,26980.550711783948,0.07,0.1
29,31425.45284319133,0.07,0.1
30,31854.473012388306,0.07,0.1
