replicate,final_population,dispersalKernel,disturbanceIntensity
1,31732.00980681865,0.07,0.1
2,28566.107865324506,0.07,0.1
3,30943.594209702816,0.07,0.1
4,28561.442044538744,0.07,0.1
5,31218.011559284238,0.07,0.1
6,32100.092983472416,0.07,0.1
7,30049.84785432603,0.07,0.1
8,34845.73271718443,0.07,0.1
9,28966.142815122377,0.07,0.1
10,28718.487259959977,0.07,0.1
11,28456.043594581068,0.07,0.1
12,32963.019681905695,0.07,0.1
13,30514.499488513142,0.07,0.1
14,29381.276999025587,0.07,0.1
15,31784.874720530865,0.07,0.1
16,30116.720112183557,0.07,0.1
17,29285.776587944227,0.07,0.1
18,28553.975455098604,0.07,0.1
19,28575.03303151634,0.07,0.1
20,28680.21629159638,0.07,0.1
21,30435.404311167826,0.07,0.1
22,27106.18558992336,0.07,0.1
23,33020.12014091549,0.07,0.1
24,29791.368648279942,0.07,0.1
25,32659.252550237277,0.07,0.1
26,27869.364656899987,0.07,0.1
27,30869.76028955417,0.07,0.1
28,29252.770077592813,0.07,0.1
29,32643.10743706232,0.07,0.1
30,29158.20124642612,0.07,0.1
