replicate,final_population,dispersalKernel,disturbanceIntensity
1,50534.5270834128,0.05,0.1
2,48595.477265079695,0.05,0.1
3,43957.92544263024,0.05,0.1
4,48917.61250735698,0.05,0.1
5,45669.260966073496,0.05,0.1
6,53069.38816038454,0.05,0.1
7,51420.61228313687,0.05,0.1
8,50974.397871915535,0.05,0.1
9,46961.294915629565,0.05,0.1
10,48439.94617219126,0.05,0.1
11,43341.6117399948,0.05,0.1
12,51966.568617475736,0.05,0.1
13,51394.5002671517,0.05,0.1
14,50686.25754743361,0.05,0.1
15,51178.40935785083,0.05,0.1
16,51872.13264189746,0.05,0.1
17,48082.74153626427,0.05,0.1
18,50455.65238746498,0.05,0.1
19,56344.67395000171,0.05,0.1
20,53985.598924344915,0.05,0.1
21,53959.85828059939,0.05,0.1
22,51814.0983430702,0.05,0.1
23,51125.53673121658,0.05,0.1
24,52137.15012407711,0.05,0.1
25,49097.67787471086,0.05,0.1
26,47137.386009659574,0.05,0.1
27,45289.14716780383,0.05,0.1
28,46928.69807014683,0.05,0.1
29,50776.356657196884,0.05,0.1
30,48645.44889407978,0.05,0.1
