replicate,final_population,dispersalKernel,disturbanceIntensity
1,33962.87203056486,0.07,0.1
2,30346.050867335212,0.07,0.1
3,29349.58189033772,0.07,0.1
4,31814.31336794707,0.07,0.1
5,29479.557970216218,0.07,0.1
6,30476.64514309914,0.07,0.1
7,35539.94286331577,0.07,0.1
8,29859.74283180612,0.07,0.1
9,32388.03703399121,0.07,0.1
10,31029.5654477098,0.07,0.1
11,29612.702834912285,0.07,0.1
12,27994.025301623376,0.07,0.1
13,34411.38555827801,0.07,0.1
14,28928.383577016953,0.07,0.1
15,29400.466275838804,0.07,0.1
16,32095.196736741793,0.07,0.1
17,31680.337009302708,0.07,0.1
18,30551.56688815402,0.07,0.1
19,28299.055735747206,0.07,0.1
20,29873.80823939633,0.07,0.1
21,31377.79993391833,0.07,0.1
22,33159.57025920766,0.07,0.1
23,31413.660359705107,0.07,0.1
24,27406.054134870414,0.07,0.1
25,32741.86478744213,0.07,0.1
26,30964.688313134233,0.07,0.1
27,30810.459053269133,0.07,0.1
28,29093.064896118132,0.07,0.1
29,29626.77609384615,0.07,0.1
30,31616.635264598528,0.07,0.1
