replicate,final_population,dispersalKernel,disturbanceIntensity
1,51458.32206889571,0.05,0.1
2,47239.16287844968,0.05,0.1
3,43711.91708783428,0.05,0.1
4,49731.05313353131,0.05,0.1
5,54462.97232636329,0.05,0.1
6,52899.615008563545,0.05,0.1
7,48419.74284354721,0.05,0.1
8,47124.32236874354,0.05,0.1
9,53913.59890377687,0.05,0.1
10,47367.10680369454,0.05,0.1
11,52119.95466609652,0.05,0.1
12,44121.116261409494,0.05,0.1
13,44083.1613280687,0.05,0.1
14,51543.36272701509,0.05,0.1
15,48982.121426732105,0.05,0.1
16,45039.869172504674,0.05,0.1
17,49042.652882633985,0.05,0.1
18,45258.08528336783,0.05,0.1
19,50862.87008491128,0.05,0.1
20,51366.97614807469,0.05,0.1
21,44504.2601738362,0.05,0.1
22,48140.7860104439,0.05,0.1
23,48144.74180214823,0.05,0.1
24,49950.36251860111,0.05,0.1
25,48339.264357312604,0.05,0.1
26,42066.04437108748,0.05,0.1
27,47337.933951543,0.05,0.1
28,54753.57292470761,0.05,0.1
29,43583.84663255682,0.05,0.1
30,48036.692095170154,0.05,0.1
