replicate,final_population,dispersalKernel,disturbanceIntensity
1,30454.445239102843,0.07,0.1
2,32055.598049618427,0.07,0.1
3,32944.4327480888,0.07,0.1
4,29223.201428765016,0.07,0.1
5,28057.910287526898,0.07,0.1
6,30672.6320027753,0.07,0.1
7,30223.297322068327,0.07,0.1
8,29768.26189061295,0.07,0.1
9,27803.421862749237,0.07,0.1
10,29590.877715020113,0.07,0.1
11,31681.120826186467,0.07,0.1
12,31450.31287526823,0.07,0.1
13,27623.908552515924,0.07,0.1
14,29460.827998143915,0.07,0.1
15,32482.44592316856,0.07,0.1
16,31185.83643838611,0.07,0.1
17,30120.15153946722,0.07,0.1
18,28088.44936477495,0.07,0.1
19,33036.21619527977,0.07,0.1
20,25167.211205252166,0.07,0.1
21,30772.572080547612,0.07,0.1
22,30639.519262538233,0.07,0.1
23,34286.00759281867,0.07,0.1
24,31401.3690577609,0.07,0.1
25,28144.012971900545,0.07,0.1
26,25815.505369909253,0.07,0.1
27,32495.25250450312,0.07,0.1
28,32917.85063810419,0.07,0.1
29,33233.79715701026,0.07,0.1
30,28465.599006481767,0.07,0.1
