replicate,final_population,dispersalKernel,disturbanceIntensity
1,44763.79721603748,0.05,0.1
2,47670.804030828374,0.05,0.1
3,54126.38401179133,0.05,0.1
4,51609.129516869696,0.05,0.1
5,45474.071125958704,0.05,0.1
6,52496.36348444822,0.05,0.1
7,53604.64920279475,0.05,0.1
8,51925.87933415647,0.05,0.1
9,53165.82495323604,0.05,0.1
10,50796.492264791115,0.05,0.1
11,47861.95993220785,0.05,0.1
12,47362.05382053198,0.05,0.1
13,53813.35413113648,0.05,0.1
14,51028.84032291769,0.05,0.1
15,45782.81729465625,0.05,0.1
16,54288.08802307422,0.05,0.1
17,45682.0999888597,0.05,0.1
18,47374.340738593935,0.05,0.1
19,58181.662222644605,0.05,0.1
20,44483.21061589987,0.05,0.1
21,46441.99664640813,0.05,0.1
22,45315.624304239864,0.05,0.1
23,48444.77306528792,0.05,0.1
24,53370.821463930166,0.05,0.1
25,45700.534948096014,0.05,0.1
26,48514.79790433371,0.05,0.1
27,51356.08385722455,0.05,0.1
28,52934.50398916767,0.05,0.1
29,48259.704191074,0.05,0.1
30,54305.456307273664,0.05,0.1
