replicate,final_population,dispersalKernel,disturbanceIntensity
1,33152.28709843794,0.07,0.1
2,28287.309428763405,0.07,0.1
3,30247.906664182476,0.07,0.1
4,26722.12106473633,0.07,0.1
5,31168.73107980772,0.07,0.1
6,31715.2696372147,0.07,0.1
7,35712.402730040005,0.07,0.1
8,30125.72061526354,0.07,0.1
9,31107.073203906843,0.07,0.1
10,30338.639667396383,0.07,0.1
11,29310.378929706207,0.07,0.1
12,27126.41831355617,0.07,0.1
13,29814.601066294992,0.07,0.1
14,28677.888564596098,0.07,0.1
15,31059.321876106584,0.07,0.1
16,30007.544972574062,0.07,0.1
17,31135.991411183866,0.07,0.1
18,29300.83522840867,0.07,0.1
19,33071.46445661974,0.07,0.1
20,31698.056763852746,0.07,0.1
21,31722.561982304334,0.07,0.1
22,31776.575177604474,0.07,0.1
23,31736.4720878547,0.07,0.1
24,29825.23640165003,0.07,0.1
25,32471.726968212453,0.07,0.1
26,27629.547283741045,0.07,0.1
27,30869.105589892384,0.07,0.1
28,33161.71053951322,0.07,0.1
29,30219.25965409626,0.07,0.1
30,28094.11028489991,0.07,0.1
