replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
0.000000,benign_long_run,nearest_web,50.000000,50.000000,99.000000,10.289071,0.000000,12.000000,12.000000,12.000000,1.166286,0.418333,0.893557,9506.815674,0.000000,0.000000,1.000000,0.000000,
0.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,4.135588,0.000000,12.000000,12.000000,12.000000,2.901643,0.411667,0.893176,9494.226632,0.000000,0.000000,1.000000,0.000000,
0.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,8.159372,0.000000,12.000000,12.000000,12.000000,1.470702,0.411667,0.891617,9463.607407,0.000000,0.000000,1.000000,0.000000,
0.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,8.807731,0.000000,12.000000,12.000000,12.000000,1.362439,0.416667,0.891419,9469.781703,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,nearest_web,50.000000,50.000000,99.000000,10.289071,0.000000,12.000000,12.000000,12.000000,1.166286,0.411667,0.894615,9439.822585,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,4.135588,0.000000,12.000000,12.000000,12.000000,2.901643,0.413333,0.894274,9423.033282,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,8.159372,0.000000,12.000000,12.000000,12.000000,1.470702,0.411667,0.893125,9374.065650,0.000000,0.000000,1.000000,0.000000,
0.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,8.807731,0.000000,12.000000,12.000000,12.000000,1.362439,0.411667,0.892917,9384.012735,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,nearest_web,50.000000,50.000000,99.000000,10.289071,0.000000,12.000000,12.000000,12.000000,1.166286,0.413333,0.894125,9471.723360,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,4.135588,0.000000,12.000000,12.000000,12.000000,2.901643,0.411667,0.893803,9453.994948,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,8.159372,0.000000,12.000000,12.000000,12.000000,1.470702,0.411667,0.892493,9412.560780,0.000000,0.000000,1.000000,0.000000,
0.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,8.807731,0.000000,12.000000,12.000000,12.000000,1.362439,0.411667,0.892294,9421.548750,0.000000,0.000000,1.000000,0.000000,
1.000000,benign_long_run,nearest_web,50.000000,50.000000,100.000000,10.450498,0.000000,12.000000,12.000000,12.000000,1.148271,0.496667,0.949869,9773.165746,0.000000,0.000000,1.000000,0.000000,
1.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,4.041351,0.000000,12.000000,12.000000,12.000000,2.969304,0.496667,0.950101,9765.295154,0.000000,0.000000,1.000000,0.000000,
1.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,7.292512,0.000000,12.000000,12.000000,12.000000,1.645524,0.480000,0.950083,9820.086044,0.000000,0.000000,1.000000,0.000000,
