scenario,geometry,metric,mean,sd,q05,q50,q95
benign_long_run,nearest_web,graph_edges,98.740000,2.768703,95.000000,99.000000,103.000000
benign_long_run,nearest_web,total_corridor_length,9.891558,0.798498,8.723843,9.732403,11.134269
benign_long_run,nearest_web,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,nearest_web,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,nearest_web,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,nearest_web,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,nearest_web,persistent_species_per_length,1.187823,0.104597,1.027595,1.210470,1.337444
benign_long_run,nearest_web,final_mean_occupancy,0.486033,0.027452,0.435750,0.488333,0.524250
benign_long_run,nearest_web,recent_evenness,0.899783,0.026051,0.860210,0.902653,0.940084
benign_long_run,nearest_web,recent_regional_total,9759.369621,301.192313,9341.591574,9741.200595,10156.924487
benign_long_run,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,nearest_web,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
benign_long_run,minimum_spanning_tree,graph_edges,49.000000,0.000000,49.000000,49.000000,49.000000
benign_long_run,minimum_spanning_tree,total_corridor_length,3.857079,0.257589,3.467114,3.872804,4.269225
benign_long_run,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,minimum_spanning_tree,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,minimum_spanning_tree,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,minimum_spanning_tree,persistent_species_per_length,3.040306,0.232798,2.660008,3.011387,3.408157
benign_long_run,minimum_spanning_tree,final_mean_occupancy,0.483900,0.027534,0.435750,0.485833,0.523833
benign_long_run,minimum_spanning_tree,recent_evenness,0.900043,0.026011,0.860627,0.903010,0.940111
benign_long_run,minimum_spanning_tree,recent_regional_total,9753.851392,302.534509,9332.277760,9728.657177,10147.029270
benign_long_run,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,minimum_spanning_tree,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
benign_long_run,dendritic_tree,graph_edges,84.000000,0.000000,84.000000,84.000000,84.000000
benign_long_run,dendritic_tree,total_corridor_length,7.303052,0.488867,6.538364,7.281549,8.060751
benign_long_run,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,dendritic_tree,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,dendritic_tree,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
benign_long_run,dendritic_tree,persistent_species_per_length,1.605652,0.122585,1.420479,1.616964,1.792162
benign_long_run,dendritic_tree,final_mean_occupancy,0.477233,0.026873,0.428750,0.480833,0.511833
benign_long_run,dendritic_tree,recent_evenness,0.899803,0.025977,0.862489,0.903315,0.939256
benign_long_run,dendritic_tree,recent_regional_total,9759.852229,298.364314,9341.225001,9762.566655,10172.521777
benign_long_run,dendritic_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,dendritic_tree,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
benign_long_run,hybrid_dendritic,graph_edges,89.780000,0.418452,89.000000,90.000000,90.000000
benign_long_run,hybrid_dendritic,total_corridor_length,7.842060,0.531274,6.956006,7.830863,8.675272
benign_long_run,hybrid_dendritic,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,final_persistent_species,11.640000,0.597956,10.450000,12.000000,12.000000
benign_long_run,hybrid_dendritic,long_run_persistent_species,11.640000,0.597956,10.450000,12.000000,12.000000
benign_long_run,hybrid_dendritic,recent_persistent_species,11.640000,0.597956,10.450000,12.000000,12.000000
benign_long_run,hybrid_dendritic,persistent_species_per_length,1.489949,0.114214,1.306394,1.478350,1.658246
benign_long_run,hybrid_dendritic,final_mean_occupancy,0.481600,0.024874,0.439667,0.485833,0.515167
benign_long_run,hybrid_dendritic,recent_evenness,0.900046,0.026110,0.862157,0.903345,0.939800
benign_long_run,hybrid_dendritic,recent_regional_total,9762.844328,304.856393,9316.124600,9779.548611,10165.879702
benign_long_run,hybrid_dendritic,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,hybrid_dendritic,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
costly_movement,nearest_web,graph_edges,98.740000,2.768703,95.000000,99.000000,103.000000
costly_movement,nearest_web,total_corridor_length,9.891558,0.798498,8.723843,9.732403,11.134269
costly_movement,nearest_web,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,nearest_web,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,nearest_web,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,nearest_web,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,nearest_web,persistent_species_per_length,1.187823,0.104597,1.027595,1.210470,1.337444
costly_movement,nearest_web,final_mean_occupancy,0.482100,0.026979,0.432250,0.485000,0.517583
costly_movement,nearest_web,recent_evenness,0.900438,0.025887,0.861474,0.903535,0.940339
costly_movement,nearest_web,recent_regional_total,9685.810444,300.027848,9269.284173,9671.740798,10091.062464
costly_movement,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,nearest_web,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
costly_movement,minimum_spanning_tree,graph_edges,49.000000,0.000000,49.000000,49.000000,49.000000
costly_movement,minimum_spanning_tree,total_corridor_length,3.857079,0.257589,3.467114,3.872804,4.269225
costly_movement,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,minimum_spanning_tree,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,minimum_spanning_tree,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,minimum_spanning_tree,persistent_species_per_length,3.040306,0.232798,2.660008,3.011387,3.408157
costly_movement,minimum_spanning_tree,final_mean_occupancy,0.480967,0.026745,0.434833,0.484167,0.521250
costly_movement,minimum_spanning_tree,recent_evenness,0.900531,0.025857,0.861672,0.903722,0.940451
costly_movement,minimum_spanning_tree,recent_regional_total,9676.076689,301.934132,9256.057945,9664.014756,10078.107688
costly_movement,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,minimum_spanning_tree,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
costly_movement,dendritic_tree,graph_edges,84.000000,0.000000,84.000000,84.000000,84.000000
costly_movement,dendritic_tree,total_corridor_length,7.303052,0.488867,6.538364,7.281549,8.060751
costly_movement,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,dendritic_tree,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,dendritic_tree,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,dendritic_tree,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
costly_movement,dendritic_tree,persistent_species_per_length,1.605652,0.122585,1.420479,1.616964,1.792162
costly_movement,dendritic_tree,final_mean_occupancy,0.473733,0.025865,0.427250,0.475833,0.507750
costly_movement,dendritic_tree,recent_evenness,0.900414,0.025775,0.863864,0.903628,0.939658
costly_movement,dendritic_tree,recent_regional_total,9657.361955,298.591988,9243.384495,9648.482766,10081.568930
costly_movement,dendritic_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,dendritic_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,dendritic_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,dendritic_tree,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
costly_movement,hybrid_dendritic,graph_edges,89.780000,0.418452,89.000000,90.000000,90.000000
costly_movement,hybrid_dendritic,total_corridor_length,7.842060,0.531274,6.956006,7.830863,8.675272
costly_movement,hybrid_dendritic,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,hybrid_dendritic,final_persistent_species,11.660000,0.592814,10.450000,12.000000,12.000000
costly_movement,hybrid_dendritic,long_run_persistent_species,11.660000,0.592814,10.450000,12.000000,12.000000
costly_movement,hybrid_dendritic,recent_persistent_species,11.660000,0.592814,10.450000,12.000000,12.000000
costly_movement,hybrid_dendritic,persistent_species_per_length,1.492438,0.112871,1.306394,1.485965,1.658246
costly_movement,hybrid_dendritic,final_mean_occupancy,0.477333,0.024725,0.433917,0.481667,0.510000
costly_movement,hybrid_dendritic,recent_evenness,0.900649,0.025924,0.863467,0.903622,0.940053
costly_movement,hybrid_dendritic,recent_regional_total,9665.726891,305.271357,9222.794314,9670.394624,10082.747232
costly_movement,hybrid_dendritic,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,hybrid_dendritic,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,hybrid_dendritic,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,hybrid_dendritic,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
edge_disturbance,nearest_web,graph_edges,97.600000,4.060763,88.900000,98.000000,103.000000
edge_disturbance,nearest_web,total_corridor_length,9.683523,0.944640,8.225210,9.711583,11.134269
edge_disturbance,nearest_web,failed_edges,1.140000,3.458264,0.000000,0.000000,11.000000
edge_disturbance,nearest_web,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,nearest_web,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,nearest_web,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,nearest_web,persistent_species_per_length,1.217247,0.129818,1.032463,1.234165,1.413305
edge_disturbance,nearest_web,final_mean_occupancy,0.482667,0.027118,0.433167,0.486667,0.519250
edge_disturbance,nearest_web,recent_evenness,0.900257,0.025929,0.861007,0.903251,0.940305
edge_disturbance,nearest_web,recent_regional_total,9720.813403,299.849963,9305.302544,9704.457809,10122.667667
edge_disturbance,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,nearest_web,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
edge_disturbance,minimum_spanning_tree,graph_edges,49.000000,0.000000,49.000000,49.000000,49.000000
edge_disturbance,minimum_spanning_tree,total_corridor_length,3.857079,0.257589,3.467114,3.872804,4.269225
edge_disturbance,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,minimum_spanning_tree,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,minimum_spanning_tree,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
