time,ground_beetle,mouse,raccoon,bee
0.000,150.00,60.00,9.00,45.00
0.010,145.74,59.17,8.84,44.41
0.020,141.65,58.35,8.68,43.84
0.030,137.71,57.55,8.53,43.28
0.040,133.92,56.76,8.38,42.73
0.050,130.28,55.98,8.24,42.19
0.060,126.76,55.23,8.09,41.66
0.070,123.38,54.48,7.95,41.13
0.080,120.12,53.75,7.82,40.62
0.090,116.97,53.03,7.68,40.12
0.100,113.94,52.33,7.55,39.63
0.110,111.01,51.63,7.43,39.14
0.120,108.18,50.95,7.30,38.67
0.130,105.45,50.28,7.18,38.20
0.140,102.82,49.62,7.06,37.74
0.150,100.27,48.98,6.94,37.29
0.160,97.81,48.34,6.82,36.85
0.170,95.44,47.72,6.71,36.42
0.180,93.14,47.10,6.60,35.99
0.190,90.91,46.50,6.49,35.57
0.200,88.76,45.91,6.39,35.16
0.210,86.67,45.32,6.28,34.75
0.220,84.66,44.75,6.18,34.35
0.230,82.70,44.18,6.08,33.96
0.240,80.81,43.63,5.98,33.57
0.250,78.98,43.08,5.88,33.19
0.260,77.20,42.54,5.79,32.82
0.270,75.48,42.01,5.70,32.45
0.280,73.81,41.49,5.61,32.09
0.290,72.19,40.98,5.52,31.73
0.300,70.61,40.47,5.43,31.38
0.310,69.09,39.98,5.34,31.04
0.320,67.61,39.49,5.26,30.70
0.330,66.17,39.00,5.18,30.36
0.340,64.77,38.53,5.10,30.03
0.350,63.42,38.06,5.02,29.71
0.360,62.10,37.60,4.94,29.39
0.370,60.82,37.15,4.86,29.07
0.380,59.57,36.70,4.79,28.76
0.390,58.36,36.26,4.71,28.46
0.400,57.18,35.83,4.64,28.16
0.410,56.04,35.40,4.57,27.86
0.420,54.92,34.98,4.50,27.57
0.430,53.84,34.56,4.43,27.28
0.440,52.78,34.15,4.37,27.00
0.450,51.76,33.75,4.30,26.72
0.460,50.76,33.35,4.23,26.44
0.470,49.78,32.96,4.17,26.17
0.480,48.83,32.57,4.11,25.90
0.490,47.91,32.19,4.05,25.64
0.500,47.01,31.82,3.99,25.38
0.510,46.13,31.44,3.93,25.12
0.520,45.28,31.08,3.87,24.87
0.530,44.44,30.72,3.81,24.62
0.540,43.63,30.36,3.75,24.37
0.550,42.84,30.01,3.70,24.13
0.560,42.06,29.67,3.64,23.89
0.570,41.31,29.33,3.59,23.65
0.580,40.57,28.99,3.54,23.42
0.590,39.85,28.66,3.49,23.19
0.600,39.15,28.33,3.44,22.96
0.610,38.46,28.01,3.39,22.74
0.620,37.80,27.69,3.34,22.51
0.630,37.14,27.38,3.29,22.30
0.640,36.50,27.06,3.24,22.08
0.650,35.88,26.76,3.19,21.87
0.660,35.27,26.46,3.15,21.66
0.670,34.68,26.16,3.10,21.45
0.680,34.10,25.86,3.06,21.24
0.690,33.53,25.57,3.01,21.04
0.700,32.97,25.29,2.97,20.84
0.710,32.43,25.00,2.93,20.64
0.720,31.90,24.72,2.89,20.45
