from_patch,to_patch,length_km
p1,p2,9.091
p1,p3,18.182
p1,p4,27.273
p1,p5,36.364
p1,p6,45.455
p1,p7,54.545
p1,p8,63.636
p1,p9,72.727
p1,p10,81.818
p1,p11,90.909
p1,p12,9.091
p1,p13,12.856
p1,p14,20.328
p1,p15,28.748
p1,p16,37.483
p1,p17,46.355
p1,p18,55.298
p1,p19,64.282
p1,p20,73.293
p1,p21,82.322
p1,p22,91.363
p1,p23,18.182
p1,p24,20.328
p1,p25,25.713
p1,p26,32.778
p1,p27,40.656
p1,p28,48.956
p1,p29,57.496
p1,p30,66.183
p1,p31,74.966
p1,p32,83.814
p1,p33,92.709
p1,p34,27.273
p1,p35,28.748
p1,p36,32.778
p1,p37,38.569
p1,p38,45.455
p1,p39,53.009
p1,p40,60.984
p1,p41,69.234
p1,p42,77.673
p1,p43,86.244
p1,p44,94.912
p1,p45,36.364
p1,p46,37.483
p1,p47,40.656
p1,p48,45.455
p1,p49,51.426
p1,p50,58.210
p1,p51,65.555
p1,p52,73.293
p1,p53,81.312
p1,p54,89.535
p1,p55,97.912
p1,p56,45.455
p1,p57,46.355
p1,p58,48.956
p1,p59,53.009
p1,p60,58.210
p1,p61,64.282
p1,p62,71.002
p1,p63,78.203
p1,p64,85.763
p1,p65,93.597
p1,p66,101.639
p1,p67,54.545
p1,p68,55.298
p1,p69,57.496
p1,p70,60.984
p1,p71,65.555
p1,p72,71.002
p1,p73,77.139
p1,p74,83.814
p1,p75,90.909
p1,p76,98.333
p1,p77,106.017
p1,p78,63.636
p1,p79,64.282
p1,p80,66.183
p1,p81,69.234
p1,p82,73.293
p1,p83,78.203
p1,p84,83.814
p1,p85,89.995
p1,p86,96.638
p1,p87,103.652
p1,p88,110.969
p1,p89,72.727
p1,p90,73.293
p1,p91,74.966
p1,p92,77.673
p1,p93,81.312
p1,p94,85.763
p1,p95,90.909
p1,p96,96.638
p1,p97,102.852
p1,p98,109.469
p1,p99,116.420
p1,p100,81.818
p1,p101,82.322
p1,p102,83.814
p1,p103,86.244
p1,p104,89.535
p1,p105,93.597
p1,p106,98.333
p1,p107,103.652
p1,p108,109.469
p1,p109,115.708
p1,p110,122.306
p1,p111,90.909
p1,p112,91.363
p1,p113,92.709
p1,p114,94.912
p1,p115,97.912
p1,p116,101.639
p1,p117,106.017
p1,p118,110.969
p1,p119,116.420
p1,p120,122.306
p2,p3,9.091
p2,p4,18.182
p2,p5,27.273
p2,p6,36.364
p2,p7,45.455
p2,p8,54.545
p2,p9,63.636
p2,p10,72.727
p2,p11,81.818
p2,p12,12.856
p2,p13,9.091
p2,p14,12.856
p2,p15,20.328
p2,p16,28.748
p2,p17,37.483
p2,p18,46.355
p2,p19,55.298
p2,p20,64.282
p2,p21,73.293
p2,p22,82.322
p2,p23,20.328
p2,p24,18.182
p2,p25,20.328
p2,p26,25.713
p2,p27,32.778
p2,p28,40.656
p2,p29,48.956
p2,p30,57.496
p2,p31,66.183
p2,p32,74.966
p2,p33,83.814
p2,p34,28.748
p2,p35,27.273
p2,p36,28.748
p2,p37,32.778
p2,p38,38.569
p2,p39,45.455
p2,p40,53.009
p2,p41,60.984
p2,p42,69.234
p2,p43,77.673
p2,p44,86.244
p2,p45,37.483
p2,p46,36.364
p2,p47,37.483
p2,p48,40.656
p2,p49,45.455
p2,p50,51.426
p2,p51,58.210
p2,p52,65.555
p2,p53,73.293
p2,p54,81.312
p2,p55,89.535
p2,p56,46.355
p2,p57,45.455
p2,p58,46.355
p2,p59,48.956
p2,p60,53.009
p2,p61,58.210
p2,p62,64.282
p2,p63,71.002
p2,p64,78.203
p2,p65,85.763
p2,p66,93.597
p2,p67,55.298
p2,p68,54.545
p2,p69,55.298
p2,p70,57.496
p2,p71,60.984
p2,p72,65.555
p2,p73,71.002
p2,p74,77.139
p2,p75,83.814
p2,p76,90.909
p2,p77,98.333
p2,p78,64.282
p2,p79,63.636
p2,p80,64.282
p2,p81,66.183
p2,p82,69.234
p2,p83,73.293
p2,p84,78.203
p2,p85,83.814
p2,p86,89.995
p2,p87,96.638
p2,p88,103.652
p2,p89,73.293
p2,p90,72.727
p2,p91,73.293
p2,p92,74.966
p2,p93,77.673
p2,p94,81.312
p2,p95,85.763
p2,p96,90.909
p2,p97,96.638
p2,p98,102.852
p2,p99,109.469
p2,p100,82.322
p2,p101,81.818
p2,p102,82.322
p2,p103,83.814
p2,p104,86.244
p2,p105,89.535
p2,p106,93.597
p2,p107,98.333
p2,p108,103.652
p2,p109,109.469
p2,p110,115.708
p2,p111,91.363
p2,p112,90.909
p2,p113,91.363
p2,p114,92.709
p2,p115,94.912
p2,p116,97.912
p2,p117,101.639
p2,p118,106.017
p2,p119,110.969
p2,p120,116.420
p3,p4,9.091
p3,p5,18.182
p3,p6,27.273
p3,p7,36.364
p3,p8,45.455
p3,p9,54.545
p3,p10,63.636
p3,p11,72.727
p3,p12,20.328
p3,p13,12.856
p3,p14,9.091
p3,p15,12.856
p3,p16,20.328
p3,p17,28.748
p3,p18,37.483
p3,p19,46.355
p3,p20,55.298
p3,p21,64.282
p3,p22,73.293
p3,p23,25.713
p3,p24,20.328
p3,p25,18.182
p3,p26,20.328
p3,p27,25.713
p3,p28,32.778
p3,p29,40.656
p3,p30,48.956
p3,p31,57.496
p3,p32,66.183
p3,p33,74.966
p3,p34,32.778
p3,p35,28.748
p3,p36,27.273
p3,p37,28.748
p3,p38,32.778
p3,p39,38.569
p3,p40,45.455
p3,p41,53.009
p3,p42,60.984
p3,p43,69.234
p3,p44,77.673
p3,p45,40.656
p3,p46,37.483
p3,p47,36.364
p3,p48,37.483
p3,p49,40.656
p3,p50,45.455
p3,p51,51.426
p3,p52,58.210
p3,p53,65.555
p3,p54,73.293
p3,p55,81.312
p3,p56,48.956
p3,p57,46.355
p3,p58,45.455
p3,p59,46.355
p3,p60,48.956
p3,p61,53.009
p3,p62,58.210
p3,p63,64.282
p3,p64,71.002
p3,p65,78.203
p3,p66,85.763
p3,p67,57.496
p3,p68,55.298
p3,p69,54.545
p3,p70,55.298
p3,p71,57.496
p3,p72,60.984
p3,p73,65.555
p3,p74,71.002
p3,p75,77.139
p3,p76,83.814
p3,p77,90.909
p3,p78,66.183
p3,p79,64.282
p3,p80,63.636
p3,p81,64.282
p3,p82,66.183
p3,p83,69.234
p3,p84,73.293
p3,p85,78.203
p3,p86,83.814
p3,p87,89.995
p3,p88,96.638
p3,p89,74.966
p3,p90,73.293
p3,p91,72.727
p3,p92,73.293
p3,p93,74.966
p3,p94,77.673
p3,p95,81.312
p3,p96,85.763
p3,p97,90.909
p3,p98,96.638
p3,p99,102.852
p3,p100,83.814
p3,p101,82.322
p3,p102,81.818
p3,p103,82.322
p3,p104,83.814
p3,p105,86.244
p3,p106,89.535
p3,p107,93.597
p3,p108,98.333
p3,p109,103.652
p3,p110,109.469
p3,p111,92.709
p3,p112,91.363
p3,p113,90.909
p3,p114,91.363
p3,p115,92.709
p3,p116,94.912
p3,p117,97.912
p3,p118,101.639
p3,p119,106.017
p3,p120,110.969
p4,p5,9.091
p4,p6,18.182
p4,p7,27.273
p4,p8,36.364
p4,p9,45.455
p4,p10,54.545
p4,p11,63.636
p4,p12,28.748
p4,p13,20.328
p4,p14,12.856
p4,p15,9.091
p4,p16,12.856
p4,p17,20.328
p4,p18,28.748
p4,p19,37.483
p4,p20,46.355
p4,p21,55.298
p4,p22,64.282
p4,p23,32.778
p4,p24,25.713
p4,p25,20.328
p4,p26,18.182
p4,p27,20.328
p4,p28,25.713
p4,p29,32.778
p4,p30,40.656
p4,p31,48.956
p4,p32,57.496
p4,p33,66.183
p4,p34,38.569
p4,p35,32.778
p4,p36,28.748
p4,p37,27.273
p4,p38,28.748
p4,p39,32.778
p4,p40,38.569
p4,p41,45.455
p4,p42,53.009
p4,p43,60.984
p4,p44,69.234
p4,p45,45.455
p4,p46,40.656
p4,p47,37.483
p4,p48,36.364
p4,p49,37.483
p4,p50,40.656
p4,p51,45.455
p4,p52,51.426
p4,p53,58.210
p4,p54,65.555
