replicate,final_population,dispersalKernel,disturbanceIntensity
1,31650.470815019195,0.07,0.1
2,33688.84591836371,0.07,0.1
3,31621.589000693613,0.07,0.1
4,32083.55343500446,0.07,0.1
5,30787.34656828399,0.07,0.1
6,31617.656695548885,0.07,0.1
7,28633.350181708065,0.07,0.1
8,33075.891913823616,0.07,0.1
9,26873.11652443205,0.07,0.1
10,30986.86682024194,0.07,0.1
11,29808.158427800998,0.07,0.1
12,26830.586929165467,0.07,0.1
13,32018.220922132412,0.07,0.1
14,28646.495169604408,0.07,0.1
15,34611.498254361446,0.07,0.1
16,29164.024564184496,0.07,0.1
17,29658.12331807767,0.07,0.1
18,35316.60309133805,0.07,0.1
19,30988.064775272294,0.07,0.1
20,29324.49675571963,0.07,0.1
21,29309.59255212382,0.07,0.1
22,30338.596904464655,0.07,0.1
23,34352.55797994429,0.07,0.1
24,30834.780318225843,0.07,0.1
25,27292.816451676357,0.07,0.1
26,32613.222269358386,0.07,0.1
27,28105.9994025976,0.07,0.1
28,26921.09900859982,0.07,0.1
29,31459.003049830448,0.07,0.1
30,31702.427526506435,0.07,0.1
