replicate,final_population,dispersalKernel,disturbanceIntensity
1,32578.5217564554,0.07,0.1
2,30270.7268604279,0.07,0.1
3,29340.578586009033,0.07,0.1
4,30285.266485460194,0.07,0.1
5,29625.549893006508,0.07,0.1
6,29750.329100622286,0.07,0.1
7,33476.36899331788,0.07,0.1
8,30626.188709786053,0.07,0.1
9,27352.814142423525,0.07,0.1
10,33736.95832125183,0.07,0.1
11,30671.988544755157,0.07,0.1
12,30257.33213357415,0.07,0.1
13,31807.047818868403,0.07,0.1
14,32477.236199006296,0.07,0.1
15,28512.600975303616,0.07,0.1
16,31736.83680875085,0.07,0.1
17,29103.275985419998,0.07,0.1
18,31765.589968801163,0.07,0.1
19,32115.34436525135,0.07,0.1
20,26029.001621063744,0.07,0.1
21,30189.092853255384,0.07,0.1
22,30598.44549285609,0.07,0.1
23,34011.26682110934,0.07,0.1
24,29769.74400907982,0.07,0.1
25,28541.14796164453,0.07,0.1
26,30758.05018922544,0.07,0.1
27,29825.778209500015,0.07,0.1
28,28848.375990096403,0.07,0.1
29,30070.17313918042,0.07,0.1
30,33307.36070163108,0.07,0.1
